Time,Value
2022-11-03 09:39:27,405
2022-11-03 09:38:57,413
2022-11-03 09:38:27,409
2022-11-03 09:37:57,410
2022-11-03 09:37:27,402
2022-11-03 09:36:57,406
2022-11-03 09:36:27,414
2022-11-03 09:35:57,409
2022-11-03 09:35:27,409
2022-11-03 09:34:57,402
2022-11-03 09:34:27,410
2022-11-03 09:33:57,405
2022-11-03 09:33:27,408
2022-11-03 09:32:57,420
2022-11-03 09:32:27,409
2022-11-03 09:31:57,418
2022-11-03 09:31:27,416
2022-11-03 09:30:57,420
2022-11-03 09:30:27,411
2022-11-03 09:29:57,405
2022-11-03 09:29:27,406
2022-11-03 09:28:57,404
2022-11-03 09:28:27,412
2022-11-03 09:27:27,402
2022-11-03 09:26:57,410
2022-11-03 09:26:27,411
2022-11-03 09:25:57,408
2022-11-03 09:25:27,402
2022-11-03 08:19:26,405
2022-11-03 08:18:56,415
2022-11-03 08:18:26,412
2022-11-03 08:17:56,419
2022-11-03 08:17:26,421
2022-11-03 08:16:56,420
2022-11-03 08:16:26,429
2022-11-03 08:15:56,433
2022-11-03 08:15:26,427
2022-11-03 08:14:56,436
2022-11-03 08:14:26,438
2022-11-03 08:13:56,437
2022-11-03 08:13:26,433
2022-11-03 08:12:56,445
2022-11-03 08:12:26,440
2022-11-03 08:11:56,448
2022-11-03 08:11:26,441
2022-11-03 08:10:56,439
2022-11-03 08:10:26,429
2022-11-03 08:09:56,437
2022-11-03 08:09:26,434
2022-11-03 08:08:56,424
2022-11-03 08:08:26,435
2022-11-03 08:07:56,444
2022-11-03 08:07:26,432
2022-11-03 08:06:56,437
2022-11-03 08:06:26,433
2022-11-03 08:05:56,448
2022-11-03 08:05:26,435
2022-11-03 08:04:56,442
2022-11-03 08:04:26,438
2022-11-03 08:03:56,435
2022-11-03 08:03:26,436
2022-11-03 08:02:55,444
2022-11-03 08:02:25,448
2022-11-03 08:01:55,439
2022-11-03 08:01:25,442
2022-11-03 08:00:55,449
