Time,Value1,Value2,Value3
2022-11-28 20:01:01,49.6875,49.8125,49.8125
2022-11-28 20:00:01,49.6875,49.875,49.8125
2022-11-28 19:59:01,49.75,49.8125,49.8125
2022-11-28 19:58:01,49.6875,49.8125,49.75
2022-11-28 19:57:01,49.6875,49.8125,49.75
2022-11-28 19:56:01,49.625,49.75,49.6875
2022-11-28 19:55:01,49.625,49.75,49.6875
2022-11-28 19:54:01,49.5625,49.75,49.6875
2022-11-28 19:53:01,49.5625,49.6875,49.625
2022-11-28 19:52:01,49.5,49.6875,49.625
2022-11-28 19:51:01,49.5,49.6875,49.625
2022-11-28 19:50:01,49.4375,49.6875,49.625
2022-11-28 19:49:01,49.4375,49.6875,49.625
2022-11-28 19:48:01,49.4375,49.6875,49.625
2022-11-28 19:47:01,49.4375,49.6875,49.625
2022-11-28 19:46:01,49.4375,49.6875,49.625
2022-11-28 19:45:01,49.4375,49.6875,49.625
2022-11-28 19:44:01,49.4375,49.75,49.6875
2022-11-28 19:43:01,49.5,49.75,49.6875
2022-11-28 19:42:01,49.5625,49.75,49.6875
2022-11-28 19:41:01,49.5625,49.8125,49.75
2022-11-28 19:40:01,49.625,49.8125,49.75
2022-11-28 19:39:01,49.625,49.8125,49.75
2022-11-28 19:38:01,49.6875,49.875,49.8125
2022-11-28 19:37:01,49.75,49.875,49.8125
2022-11-28 19:36:01,49.75,49.875,49.8125
2022-11-28 19:35:01,49.75,49.875,49.8125
2022-11-28 19:34:01,49.75,49.875,49.8125
2022-11-28 19:33:01,49.75,49.875,49.8125
2022-11-28 19:32:01,49.75,49.875,49.8125
2022-11-28 19:31:01,49.75,49.8125,49.8125
2022-11-28 19:30:01,49.75,49.8125,49.75
2022-11-28 19:29:01,49.6875,49.8125,49.75
2022-11-28 19:28:01,49.6875,49.75,49.6875
2022-11-28 19:27:01,49.625,49.75,49.6875
2022-11-28 19:26:01,49.5625,49.6875,49.625
2022-11-28 19:25:01,49.5625,49.6875,49.625
2022-11-28 19:24:01,49.5,49.6875,49.625
2022-11-28 19:23:01,49.5,49.6875,49.5625
2022-11-28 19:22:01,49.5,49.625,49.5625
2022-11-28 19:21:01,49.4375,49.625,49.5625
2022-11-28 19:20:01,49.4375,49.625,49.5625
2022-11-28 19:19:00,49.4375,49.6875,49.5625
2022-11-28 19:18:00,49.4375,49.6875,49.625
2022-11-28 19:17:00,49.4375,49.6875,49.625
2022-11-28 19:16:00,49.5,49.6875,49.625
2022-11-28 19:15:00,49.5,49.75,49.6875
2022-11-28 19:14:00,49.5,49.75,49.6875
2022-11-28 19:13:00,49.5625,49.75,49.6875
2022-11-28 19:12:00,49.5625,49.75,49.75
2022-11-28 19:11:00,49.625,49.8125,49.75
2022-11-28 19:10:00,49.625,49.8125,49.75
2022-11-28 19:09:00,49.6875,49.8125,49.75
2022-11-28 19:08:00,49.6875,49.8125,49.75
2022-11-28 19:07:00,49.6875,49.8125,49.75
2022-11-28 19:06:00,49.6875,49.75,49.75
2022-11-28 19:05:00,49.6875,49.75,49.6875
2022-11-28 19:04:00,49.625,49.75,49.6875
2022-11-28 19:03:00,49.625,49.75,49.6875
2022-11-28 19:02:00,49.5625,49.6875,49.625
2022-11-28 19:01:00,49.5625,49.6875,49.625
2022-11-28 19:00:00,49.5625,49.6875,49.625
2022-11-28 18:59:00,49.5,49.625,49.5625
2022-11-28 18:58:00,49.4375,49.625,49.5625
2022-11-28 18:57:00,49.4375,49.625,49.5625
2022-11-28 18:56:00,49.4375,49.625,49.5625
2022-11-28 18:55:00,49.375,49.625,49.5625
2022-11-28 18:54:00,49.375,49.625,49.5625
2022-11-28 18:53:00,49.375,49.625,49.5625
2022-11-28 18:52:00,49.375,49.625,49.5625
2022-11-28 18:51:00,49.4375,49.6875,49.625
2022-11-28 18:50:00,49.4375,49.6875,49.625
2022-11-28 18:49:00,49.5,49.75,49.6875
2022-11-28 18:48:00,49.5,49.75,49.6875
2022-11-28 18:47:00,49.5625,49.75,49.75
2022-11-28 18:46:00,49.5625,49.8125,49.75
2022-11-28 18:45:00,49.625,49.8125,49.75
2022-11-28 18:44:00,49.6875,49.8125,49.75
2022-11-28 18:43:00,49.6875,49.8125,49.75
2022-11-28 18:42:00,49.6875,49.8125,49.8125
2022-11-28 18:41:00,49.6875,49.8125,49.75
2022-11-28 18:40:00,49.75,49.8125,49.75
2022-11-28 18:39:00,49.75,49.8125,49.75
2022-11-28 18:38:00,49.6875,49.8125,49.75
2022-11-28 18:37:00,49.6875,49.75,49.6875
2022-11-28 18:36:00,49.6875,49.75,49.6875
2022-11-28 18:35:00,49.625,49.75,49.6875
2022-11-28 18:34:00,49.625,49.6875,49.625
2022-11-28 18:33:00,49.5625,49.6875,49.625
2022-11-28 18:32:00,49.5,49.625,49.625
2022-11-28 18:31:00,49.5,49.625,49.5625
2022-11-28 18:30:00,49.4375,49.625,49.5625
2022-11-28 18:29:00,49.4375,49.625,49.5625
2022-11-28 18:28:00,49.375,49.625,49.5625
2022-11-28 18:27:00,49.375,49.625,49.5625
2022-11-28 18:26:00,49.375,49.625,49.5625
2022-11-28 18:25:00,49.375,49.625,49.5625
2022-11-28 18:24:00,49.4375,49.6875,49.5625
2022-11-28 18:23:00,49.4375,49.625,49.625
2022-11-28 18:22:00,49.4375,49.6875,49.625
2022-11-28 18:21:00,49.5,49.6875,49.625
2022-11-28 18:20:00,49.5,49.75,49.6875
2022-11-28 18:19:00,49.5625,49.75,49.6875
2022-11-28 18:18:00,49.5625,49.75,49.6875
2022-11-28 18:17:00,49.625,49.75,49.6875
2022-11-28 18:16:00,49.625,49.8125,49.75
2022-11-28 18:15:00,49.625,49.75,49.6875
2022-11-28 18:14:00,49.6875,49.75,49.6875
2022-11-28 18:13:00,49.6875,49.75,49.6875
2022-11-28 18:12:00,49.625,49.75,49.6875
2022-11-28 18:11:00,49.625,49.75,49.6875
2022-11-28 18:10:00,49.625,49.6875,49.625
2022-11-28 18:09:00,49.5625,49.6875,49.625
2022-11-28 18:08:00,49.5,49.6875,49.5625
2022-11-28 18:07:00,49.5,49.625,49.5625
2022-11-28 18:06:00,49.4375,49.625,49.5625
2022-11-28 18:05:00,49.4375,49.625,49.5625
2022-11-28 18:04:00,49.375,49.625,49.5
2022-11-28 18:03:00,49.375,49.5625,49.5
2022-11-28 18:02:00,49.375,49.5625,49.5
2022-11-28 18:01:00,49.3125,49.5625,49.5
2022-11-28 18:00:00,49.375,49.625,49.5625
2022-11-28 17:59:00,49.375,49.625,49.5625
2022-11-28 17:58:00,49.375,49.625,49.5625
2022-11-28 17:57:00,49.375,49.6875,49.625
2022-11-28 17:56:00,49.4375,49.6875,49.625
2022-11-28 17:55:00,49.5,49.6875,49.625
2022-11-28 17:54:00,49.5,49.75,49.6875
2022-11-28 17:53:00,49.5625,49.75,49.6875
2022-11-28 17:52:00,49.5625,49.8125,49.6875
2022-11-28 17:51:00,49.625,49.8125,49.75
2022-11-28 17:50:00,49.625,49.8125,49.75
2022-11-28 17:49:00,49.6875,49.8125,49.75
2022-11-28 17:48:00,49.6875,49.8125,49.75
2022-11-28 17:47:00,49.6875,49.8125,49.75
2022-11-28 17:46:00,49.6875,49.8125,49.75
2022-11-28 17:45:00,49.6875,49.75,49.75
2022-11-28 17:44:00,49.625,49.75,49.6875
2022-11-28 17:43:00,49.625,49.75,49.6875
2022-11-28 17:42:00,49.5625,49.6875,49.625
2022-11-28 17:41:00,49.5625,49.6875,49.625
2022-11-28 17:40:00,49.5625,49.6875,49.625
2022-11-28 17:38:59,49.5,49.625,49.5625
2022-11-28 17:37:59,49.4375,49.625,49.5625
2022-11-28 17:36:59,49.4375,49.625,49.5625
2022-11-28 17:35:59,49.375,49.625,49.5625
2022-11-28 17:34:59,49.375,49.625,49.5625
2022-11-28 17:33:59,49.375,49.625,49.5625
2022-11-28 17:32:59,49.375,49.625,49.5625
2022-11-28 17:31:59,49.375,49.625,49.5625
2022-11-28 17:30:59,49.4375,49.6875,49.625
2022-11-28 17:29:59,49.4375,49.6875,49.625
2022-11-28 17:28:59,49.4375,49.6875,49.625
2022-11-28 17:27:59,49.5,49.75,49.6875
2022-11-28 17:26:59,49.5625,49.75,49.6875
2022-11-28 17:25:59,49.5625,49.75,49.6875
2022-11-28 17:24:59,49.625,49.8125,49.75
2022-11-28 17:23:59,49.625,49.8125,49.75
2022-11-28 17:22:59,49.6875,49.8125,49.75
2022-11-28 17:21:59,49.6875,49.8125,49.75
2022-11-28 17:20:59,49.6875,49.8125,49.75
2022-11-28 17:19:59,49.6875,49.8125,49.75
2022-11-28 17:18:59,49.6875,49.75,49.75
2022-11-28 17:17:59,49.6875,49.75,49.6875
2022-11-28 17:16:59,49.625,49.75,49.6875
2022-11-28 17:15:59,49.625,49.6875,49.625
2022-11-28 17:14:59,49.5625,49.6875,49.625
2022-11-28 17:13:59,49.5625,49.625,49.5625
2022-11-28 17:12:59,49.5,49.625,49.5625
2022-11-28 17:11:59,49.4375,49.625,49.5
2022-11-28 17:10:59,49.4375,49.5625,49.5
2022-11-28 17:09:59,49.375,49.5625,49.5
2022-11-28 17:08:59,49.3125,49.5625,49.5
2022-11-28 17:07:59,49.3125,49.5625,49.5
2022-11-28 17:06:59,49.3125,49.5625,49.5
2022-11-28 17:05:59,49.3125,49.5625,49.5
2022-11-28 17:04:59,49.3125,49.5625,49.5
2022-11-28 17:03:59,49.3125,49.5625,49.5
2022-11-28 17:02:59,49.3125,49.625,49.5625
2022-11-28 17:01:59,49.375,49.625,49.5625
2022-11-28 17:00:59,49.375,49.6875,49.625
2022-11-28 16:59:59,49.4375,49.6875,49.625
2022-11-28 16:58:59,49.5,49.6875,49.625
2022-11-28 16:57:59,49.5,49.75,49.6875
2022-11-28 16:56:59,49.5625,49.75,49.6875
2022-11-28 16:55:59,49.5625,49.75,49.6875
2022-11-28 16:54:59,49.625,49.75,49.75
2022-11-28 16:48:59,49.625,49.75,49.6875
2022-11-28 16:18:59,49.5625,49.6875,49.625
2022-11-28 16:15:59,49.4375,49.625,49.5625
2022-11-28 16:14:59,49.4375,49.625,49.5625
2022-11-28 16:13:59,49.375,49.625,49.5625
2022-11-28 16:12:59,49.4375,49.625,49.5625
2022-11-28 16:11:59,49.375,49.625,49.5625
2022-11-28 16:10:59,49.375,49.625,49.5625
2022-11-28 16:09:59,49.375,49.6875,49.625
2022-11-28 16:08:59,49.4375,49.6875,49.625
2022-11-28 16:07:59,49.4375,49.75,49.6875
2022-11-28 16:06:59,49.5,49.75,49.6875
2022-11-28 16:05:59,49.5625,49.75,49.75
