Time,Value
2022/11/24 21:49,411
2022/11/24 21:48,415
2022/11/24 21:47,409
2022/11/24 21:46,411
2022/11/24 21:45,413
2022/11/24 21:44,414
2022/11/24 21:43,431
2022/11/24 21:42,424
2022/11/24 21:41,418
2022/11/24 21:40,418
2022/11/24 21:39,421
2022/11/24 21:38,408
2022/11/24 21:37,406
2022/11/24 21:36,403
2022/11/24 21:34,402
2022/11/24 21:32,413
2022/11/24 21:31,407
2022/11/24 21:30,407
2022/11/24 21:29,412
2022/11/24 21:28,431
2022/11/24 21:27,422
2022/11/24 21:26,415
2022/11/24 21:25,430
2022/11/24 21:24,426
2022/11/24 21:23,435
2022/11/24 21:22,449
2022/11/24 21:21,447
2022/11/24 21:20,464
2022/11/24 21:19,459
2022/11/24 21:18,461
2022/11/24 21:17,455
2022/11/24 21:16,456
2022/11/24 21:15,444
2022/11/24 21:14,449
2022/11/24 21:13,450
2022/11/24 21:12,454
2022/11/24 21:11,460
2022/11/24 21:10,467
2022/11/24 21:09,468
2022/11/24 21:08,475
2022/11/24 21:07,469
2022/11/24 21:06,464
2022/11/24 21:05,478
2022/11/24 21:04,488
2022/11/24 21:03,472
2022/11/24 21:02,477
2022/11/24 21:01,469
2022/11/24 21:00,478
2022/11/24 20:59,451
2022/11/24 20:58,449
2022/11/24 20:57,452
2022/11/24 20:56,462
2022/11/24 20:55,462
2022/11/24 20:54,471
2022/11/24 20:53,468
2022/11/24 20:52,468
2022/11/24 20:51,480
2022/11/24 20:50,492
2022/11/24 20:49,497
2022/11/24 20:48,505
2022/11/24 20:47,501
2022/11/24 20:46,503
2022/11/24 20:45,507
2022/11/24 20:44,506
2022/11/24 20:43,483
2022/11/24 20:42,483
2022/11/24 20:41,496
2022/11/24 20:40,490
2022/11/24 20:39,497
2022/11/24 20:38,487
2022/11/24 20:37,481
2022/11/24 20:36,487
2022/11/24 20:35,496
2022/11/24 20:34,482
2022/11/24 20:33,493
2022/11/24 20:32,484
2022/11/24 20:31,476
2022/11/24 20:30,482
2022/11/24 20:29,500
2022/11/24 20:28,511
2022/11/24 20:27,506
2022/11/24 20:26,515
2022/11/24 20:25,512
2022/11/24 20:24,521
2022/11/24 20:23,516
2022/11/24 20:22,495
2022/11/24 20:21,489
2022/11/24 20:20,487
2022/11/24 20:19,491
2022/11/24 20:18,474
2022/11/24 20:17,482
2022/11/24 20:16,470
2022/11/24 20:15,477
2022/11/24 20:14,476
2022/11/24 20:13,476
2022/11/24 20:12,463
2022/11/24 20:11,468
2022/11/24 20:10,478
2022/11/24 20:09,468
2022/11/24 20:08,471
2022/11/24 20:07,455
2022/11/24 20:06,429
2022/11/24 20:05,426
2022/11/24 20:04,413
2022/11/24 20:03,401
2022/11/24 19:56,411
2022/11/24 19:55,435
2022/11/24 19:54,447
2022/11/24 19:53,426
2022/11/24 19:52,432
2022/11/24 19:51,429
2022/11/24 19:50,425
2022/11/24 19:49,433
2022/11/24 19:48,428
2022/11/24 19:47,419
2022/11/24 19:42,410
2022/11/24 19:38,412
2022/11/24 19:37,411
2022/11/24 19:36,418
2022/11/24 19:35,442
2022/11/24 19:34,438
2022/11/24 19:33,420
2022/11/24 19:32,409
2022/11/24 19:31,415
2022/11/24 19:30,423
2022/11/24 19:29,433
2022/11/24 19:28,455
2022/11/24 19:27,464
2022/11/24 19:26,486
2022/11/24 19:25,471
2022/11/24 19:24,465
2022/11/24 19:23,467
2022/11/24 19:22,458
2022/11/24 19:21,477
2022/11/24 19:20,485
2022/11/24 19:19,479
2022/11/24 19:18,490
2022/11/24 19:17,483
2022/11/24 19:16,479
2022/11/24 19:15,470
2022/11/24 19:14,446
2022/11/24 19:13,431
2022/11/24 19:12,421
2022/11/24 19:11,417
2022/11/24 19:10,413
2022/11/24 19:09,408
2022/11/24 19:08,406
2022/11/24 19:05,401
2022/11/24 19:04,403
2022/11/24 19:03,431
2022/11/24 19:02,437
2022/11/24 19:01,451
2022/11/24 19:00,453
2022/11/24 18:59,442
2022/11/24 18:58,439
2022/11/24 18:57,428
2022/11/24 18:56,410
2022/11/24 18:53,404
2022/11/24 18:04,412
2022/11/24 18:03,422
2022/11/24 18:02,433
2022/11/24 18:01,434
2022/11/24 18:00,411
2022/11/24 17:29,411
2022/11/24 17:28,424
2022/11/24 17:27,437
2022/11/24 17:26,422
2022/11/24 17:25,425
2022/11/24 17:24,422
2022/11/24 17:23,416
2022/11/24 17:22,429
2022/11/24 17:21,445
2022/11/24 17:20,448
2022/11/24 17:19,432
2022/11/24 17:18,413
2022/11/24 17:17,412
2022/11/24 17:16,417
2022/11/24 17:15,425
2022/11/24 17:14,408
2022/11/24 17:13,415
2022/11/24 17:12,425
2022/11/24 17:11,429
2022/11/24 17:10,414
2022/11/24 17:09,415
2022/11/24 16:58,405
2022/11/24 16:57,422
2022/11/24 16:56,413
2022/11/24 16:55,428
2022/11/24 16:54,426
2022/11/24 16:53,420
2022/11/24 16:52,427
2022/11/24 16:51,432
2022/11/24 16:50,435
2022/11/24 16:49,436
2022/11/24 16:48,422
2022/11/24 16:47,423
2022/11/24 16:46,433
2022/11/24 16:45,439
2022/11/24 16:44,448
2022/11/24 16:43,417
2022/11/24 16:32,409
2022/11/24 16:31,403
2022/11/24 16:30,409
2022/11/24 16:29,407
2022/11/24 16:28,407
2022/11/24 16:26,425
2022/11/24 16:25,410
2022/11/24 16:24,407
2022/11/24 16:23,406
2022/11/24 16:22,402
2022/11/24 16:21,419
2022/11/24 16:20,433
2022/11/24 16:19,445
2022/11/24 16:18,445
2022/11/24 16:17,423
2022/11/24 16:16,404
2022/11/24 16:15,409
2022/11/24 16:14,432
2022/11/24 16:13,473
2022/11/24 16:12,476
2022/11/24 16:11,492
2022/11/24 16:10,498
2022/11/24 16:09,495
2022/11/24 16:08,489
2022/11/24 16:07,483
2022/11/24 16:06,478
2022/11/24 16:05,478
2022/11/24 16:04,488
2022/11/24 16:03,518
2022/11/24 16:02,519
2022/11/24 16:01,532
2022/11/24 16:00,540
2022/11/24 15:59,531
2022/11/24 15:58,525
2022/11/24 15:57,525
2022/11/24 15:56,533
2022/11/24 15:55,525
2022/11/24 15:54,521
2022/11/24 15:53,533
2022/11/24 15:52,544
2022/11/24 15:51,554
2022/11/24 15:50,570
2022/11/24 15:49,571
2022/11/24 15:48,558
2022/11/24 15:47,535
2022/11/24 15:46,524
2022/11/24 15:45,506
2022/11/24 15:44,494
2022/11/24 15:43,497
2022/11/24 15:42,500
2022/11/24 15:41,509
2022/11/24 15:40,534
2022/11/24 15:39,535
2022/11/24 15:38,548
2022/11/24 15:37,551
2022/11/24 15:36,565
2022/11/24 15:35,562
2022/11/24 15:34,580
2022/11/24 15:33,606
2022/11/24 15:32,613
2022/11/24 15:31,595
2022/11/24 15:30,604
2022/11/24 15:29,614
2022/11/24 15:28,604
2022/11/24 15:27,594
2022/11/24 15:26,575
2022/11/24 15:25,570
2022/11/24 15:24,565
2022/11/24 15:23,556
2022/11/24 15:22,546
2022/11/24 15:21,553
2022/11/24 15:20,552
2022/11/24 15:19,562
2022/11/24 15:18,573
2022/11/24 15:17,651
2022/11/24 15:16,664
2022/11/24 15:15,669
2022/11/24 15:14,658
2022/11/24 15:13,648
2022/11/24 15:12,635
2022/11/24 15:11,653
2022/11/24 15:10,656
2022/11/24 15:09,652
2022/11/24 15:08,676
2022/11/24 15:07,682
2022/11/24 15:06,678
2022/11/24 15:05,680
2022/11/24 15:04,692
2022/11/24 15:03,697
2022/11/24 15:02,708
2022/11/24 15:01,699
2022/11/24 15:00,696
2022/11/24 14:59,699
2022/11/24 14:58,699
2022/11/24 14:57,696
2022/11/24 14:56,684
2022/11/24 14:55,685
2022/11/24 14:54,682
2022/11/24 14:53,679
2022/11/24 14:52,675
2022/11/24 14:51,685
2022/11/24 14:50,674
2022/11/24 14:49,670
2022/11/24 14:48,675
2022/11/24 14:47,674
2022/11/24 14:46,682
2022/11/24 14:45,685
2022/11/24 14:44,693
2022/11/24 14:43,690
2022/11/24 14:42,692
2022/11/24 14:41,695
2022/11/24 14:40,686
2022/11/24 14:39,684
2022/11/24 14:38,664
2022/11/24 14:37,653
2022/11/24 14:36,652
2022/11/24 14:35,654
2022/11/24 14:34,664
2022/11/24 14:33,658
2022/11/24 14:32,663
2022/11/24 14:31,651
2022/11/24 14:30,641
2022/11/24 14:29,640
2022/11/24 14:28,623
2022/11/24 14:27,615
2022/11/24 14:26,613
2022/11/24 14:25,610
2022/11/24 14:24,625
2022/11/24 14:23,640
2022/11/24 14:22,630
2022/11/24 14:21,615
2022/11/24 14:20,636
2022/11/24 14:19,623
2022/11/24 14:18,620
2022/11/24 14:17,612
2022/11/24 14:16,601
2022/11/24 14:15,596
2022/11/24 14:14,597
2022/11/24 14:13,600
2022/11/24 14:12,587
2022/11/24 14:11,587
2022/11/24 14:10,598
2022/11/24 14:09,587
2022/11/24 14:08,570
2022/11/24 14:07,578
2022/11/24 14:06,591
2022/11/24 14:05,628
2022/11/24 14:04,638
2022/11/24 14:03,654
2022/11/24 14:02,667
2022/11/24 14:01,677
2022/11/24 14:00,701
2022/11/24 13:59,698
2022/11/24 13:58,687
2022/11/24 13:57,693
2022/11/24 13:56,686
2022/11/24 13:55,685
2022/11/24 13:54,677
2022/11/24 13:53,676
2022/11/24 13:52,685
2022/11/24 13:51,682
2022/11/24 13:50,675
2022/11/24 13:49,686
2022/11/24 13:48,682
2022/11/24 13:47,682
2022/11/24 13:46,675
2022/11/24 13:45,647
2022/11/24 13:44,659
2022/11/24 13:43,654
2022/11/24 13:42,670
2022/11/24 13:41,674
2022/11/24 13:40,686
2022/11/24 13:39,689
2022/11/24 13:38,676
2022/11/24 13:37,675
2022/11/24 13:36,664
2022/11/24 13:35,657
2022/11/24 13:34,654
2022/11/24 13:33,651
2022/11/24 13:32,643
2022/11/24 13:31,645
2022/11/24 13:30,662
2022/11/24 13:29,649
2022/11/24 13:28,645
2022/11/24 13:27,658
2022/11/24 13:26,645
2022/11/24 13:25,656
2022/11/24 13:24,655
2022/11/24 13:23,648
2022/11/24 13:22,651
2022/11/24 13:21,650
2022/11/24 13:20,662
2022/11/24 13:19,659
2022/11/24 13:18,647
2022/11/24 13:17,629
2022/11/24 13:16,621
2022/11/24 13:15,598
2022/11/24 13:14,597
2022/11/24 13:13,594
2022/11/24 13:12,598
2022/11/24 13:11,587
2022/11/24 13:10,574
2022/11/24 13:09,581
2022/11/24 13:08,579
2022/11/24 13:07,581
2022/11/24 13:06,580
2022/11/24 13:05,572
2022/11/24 13:04,572
2022/11/24 13:03,571
2022/11/24 13:02,583
2022/11/24 13:01,594
2022/11/24 13:00,589
2022/11/24 12:59,599
2022/11/24 12:58,601
2022/11/24 12:57,605
2022/11/24 12:56,598
2022/11/24 12:55,599
2022/11/24 12:54,597
2022/11/24 12:53,618
2022/11/24 12:52,614
2022/11/24 12:51,629
2022/11/24 12:50,626
2022/11/24 12:49,618
2022/11/24 12:48,615
2022/11/24 12:47,621
2022/11/24 12:46,637
2022/11/24 12:45,650
2022/11/24 12:44,668
2022/11/24 12:43,670
2022/11/24 12:42,665
2022/11/24 12:41,664
2022/11/24 12:40,674
2022/11/24 12:39,659
2022/11/24 12:38,662
2022/11/24 12:37,663
2022/11/24 12:36,641
2022/11/24 12:35,643
2022/11/24 12:34,649
2022/11/24 12:33,659
2022/11/24 12:32,652
2022/11/24 12:31,672
2022/11/24 12:30,664
2022/11/24 12:29,665
2022/11/24 12:28,666
2022/11/24 12:27,666
2022/11/24 12:26,655
2022/11/24 12:25,653
2022/11/24 12:24,644
2022/11/24 12:23,658
2022/11/24 12:22,658
2022/11/24 12:21,652
2022/11/24 12:20,631
2022/11/24 12:19,614
2022/11/24 12:18,616
2022/11/24 12:17,622
2022/11/24 12:16,616
2022/11/24 12:15,604
2022/11/24 12:14,598
2022/11/24 12:13,566
2022/11/24 12:12,558
2022/11/24 12:11,554
2022/11/24 12:10,539
2022/11/24 12:09,530
2022/11/24 12:08,521
2022/11/24 12:07,523
2022/11/24 12:06,508
2022/11/24 12:05,499
2022/11/24 12:04,503
2022/11/24 12:03,507
2022/11/24 12:02,532
2022/11/24 12:01,539
2022/11/24 12:00,556
2022/11/24 11:59,577
2022/11/24 11:58,551
2022/11/24 11:57,527
2022/11/24 11:56,517
2022/11/24 11:55,522
2022/11/24 11:54,543
2022/11/24 11:53,522
2022/11/24 11:52,557
2022/11/24 11:51,571
2022/11/24 11:50,568
2022/11/24 11:49,549
2022/11/24 11:48,559
2022/11/24 11:47,556
2022/11/24 11:46,549
2022/11/24 11:45,550
2022/11/24 11:44,536
2022/11/24 11:43,520
2022/11/24 11:42,531
2022/11/24 11:41,520
2022/11/24 11:40,508
2022/11/24 11:39,521
2022/11/24 11:38,531
2022/11/24 11:37,544
2022/11/24 11:36,534
2022/11/24 11:35,554
2022/11/24 11:34,562
2022/11/24 11:33,576
2022/11/24 11:32,578
2022/11/24 11:31,580
2022/11/24 11:30,588
2022/11/24 11:29,621
2022/11/24 11:28,614
2022/11/24 11:27,607
2022/11/24 11:26,602
2022/11/24 11:25,566
2022/11/24 11:24,573
2022/11/24 11:23,575
2022/11/24 11:22,593
2022/11/24 11:21,598
2022/11/24 11:20,609
2022/11/24 11:19,596
2022/11/24 11:18,601
2022/11/24 11:17,615
2022/11/24 11:16,621
2022/11/24 11:15,604
2022/11/24 11:14,617
2022/11/24 11:13,625
2022/11/24 11:12,601
2022/11/24 11:11,590
2022/11/24 11:10,578
2022/11/24 11:09,592
2022/11/24 11:08,593
2022/11/24 11:07,595
2022/11/24 11:06,603
2022/11/24 11:05,602
2022/11/24 11:04,619
2022/11/24 11:03,616
2022/11/24 11:02,608
2022/11/24 11:01,629
2022/11/24 11:00,633
2022/11/24 10:59,628
2022/11/24 10:58,637
2022/11/24 10:57,654
2022/11/24 10:56,659
2022/11/24 10:55,665
2022/11/24 10:54,674
2022/11/24 10:53,674
2022/11/24 10:52,664
2022/11/24 10:51,646
2022/11/24 10:50,639
2022/11/24 10:49,628
2022/11/24 10:48,612
2022/11/24 10:47,623
2022/11/24 10:46,624
2022/11/24 10:45,618
2022/11/24 10:44,626
2022/11/24 10:43,642
2022/11/24 10:42,614
2022/11/24 10:41,620
2022/11/24 10:40,605
2022/11/24 10:39,571
2022/11/24 10:38,557
2022/11/24 10:37,562
2022/11/24 10:36,559
2022/11/24 10:35,572
2022/11/24 10:34,550
2022/11/24 10:33,535
2022/11/24 10:32,536
2022/11/24 10:31,554
2022/11/24 10:30,561
2022/11/24 10:29,582
2022/11/24 10:28,586
2022/11/24 10:27,585
2022/11/24 10:26,581
2022/11/24 10:25,602
2022/11/24 10:24,606
2022/11/24 10:23,578
2022/11/24 10:22,554
2022/11/24 10:21,548
2022/11/24 10:20,547
2022/11/24 10:19,565
2022/11/24 10:18,568
2022/11/24 10:17,591
2022/11/24 10:16,591
2022/11/24 10:15,591
2022/11/24 10:14,590
2022/11/24 10:13,618
2022/11/24 10:12,617
2022/11/24 10:11,625
2022/11/24 10:10,628
2022/11/24 10:09,617
2022/11/24 10:08,612
2022/11/24 10:07,608
2022/11/24 10:06,588
2022/11/24 10:05,552
2022/11/24 10:04,539
2022/11/24 10:03,536
2022/11/24 10:02,540
2022/11/24 10:01,567
2022/11/24 10:00,570
2022/11/24 9:59,560
2022/11/24 9:58,559
2022/11/24 9:57,553
2022/11/24 9:56,555
2022/11/24 9:55,563
2022/11/24 9:54,579
2022/11/24 9:53,586
2022/11/24 9:52,584
2022/11/24 9:51,582
2022/11/24 9:50,563
2022/11/24 9:49,571
2022/11/24 9:48,548
2022/11/24 9:47,549
2022/11/24 9:46,558
2022/11/24 9:45,560
2022/11/24 9:44,582
2022/11/24 9:43,581
2022/11/24 9:42,597
2022/11/24 9:41,616
2022/11/24 9:40,622
2022/11/24 9:39,618
2022/11/24 9:38,621
2022/11/24 9:37,617
2022/11/24 9:36,621
2022/11/24 9:35,623
2022/11/24 9:34,622
2022/11/24 9:33,598
2022/11/24 9:32,613
2022/11/24 9:31,604
2022/11/24 9:30,602
2022/11/24 9:29,609
2022/11/24 9:28,615
2022/11/24 9:27,628
2022/11/24 9:26,631
2022/11/24 9:25,647
2022/11/24 9:24,653
2022/11/24 9:23,660
2022/11/24 9:22,664
2022/11/24 9:21,684
2022/11/24 9:20,684
2022/11/24 9:19,698
2022/11/24 9:18,700
2022/11/24 9:17,686
2022/11/24 9:16,685
2022/11/24 9:15,690
2022/11/24 9:14,691
2022/11/24 9:13,679
2022/11/24 9:12,665
2022/11/24 9:11,658
2022/11/24 9:10,662
2022/11/24 9:09,657
2022/11/24 9:08,647
2022/11/24 9:07,645
2022/11/24 9:06,634
2022/11/24 9:05,637
2022/11/24 9:04,653
2022/11/24 9:03,657
2022/11/24 9:02,634
2022/11/24 9:01,623
2022/11/24 9:00,616
2022/11/24 8:59,621
2022/11/24 8:58,612
2022/11/24 8:57,622
2022/11/24 8:56,626
2022/11/24 8:55,626
2022/11/24 8:54,628
2022/11/24 8:53,629
2022/11/24 8:52,613
2022/11/24 8:51,619
2022/11/24 8:50,621
2022/11/24 8:49,645
2022/11/24 8:48,653
2022/11/24 8:47,650
2022/11/24 8:46,658
2022/11/24 8:45,635
2022/11/24 8:44,616
2022/11/24 8:43,619
2022/11/24 8:42,614
2022/11/24 8:41,620
2022/11/24 8:40,629
2022/11/24 8:39,620
2022/11/24 8:38,625
2022/11/24 8:37,623
2022/11/24 8:36,621
2022/11/24 8:35,611
2022/11/24 8:34,624
2022/11/24 8:33,627
2022/11/24 8:32,626
2022/11/24 8:31,659
2022/11/24 8:30,666
2022/11/24 8:29,667
2022/11/24 8:28,662
2022/11/24 8:27,649
2022/11/24 8:26,631
2022/11/24 8:25,641
2022/11/24 8:24,660
2022/11/24 8:23,677
2022/11/24 8:22,688
2022/11/24 8:21,682
2022/11/24 8:20,673
2022/11/24 8:19,667
2022/11/24 8:18,664
2022/11/24 8:17,661
2022/11/24 8:16,670
2022/11/24 8:15,662
2022/11/24 8:14,663
2022/11/24 8:13,660
2022/11/24 8:12,674
2022/11/24 8:11,674
2022/11/24 8:10,694
2022/11/24 8:09,687
2022/11/24 8:08,664
2022/11/24 8:07,677
2022/11/24 8:06,663
2022/11/24 8:05,667
2022/11/24 8:04,679
2022/11/24 8:03,691
2022/11/24 8:02,696
2022/11/24 8:01,710
2022/11/24 8:00,710
2022/11/24 7:59,722
2022/11/24 7:58,721
2022/11/24 7:57,718
2022/11/24 7:56,732
2022/11/24 7:55,729
2022/11/24 7:54,723
2022/11/24 7:53,711
2022/11/24 7:52,705
2022/11/24 7:51,711
2022/11/24 7:50,726
2022/11/24 7:49,724
2022/11/24 7:48,719
2022/11/24 7:47,723
2022/11/24 7:46,728
2022/11/24 7:45,736
2022/11/24 7:44,723
2022/11/24 7:43,740
2022/11/24 7:42,721
2022/11/24 7:41,722
2022/11/24 7:40,706
2022/11/24 7:39,711
2022/11/24 7:38,709
2022/11/24 7:37,699
2022/11/24 7:36,697
2022/11/24 7:35,688
2022/11/24 7:34,688
2022/11/24 7:33,693
2022/11/24 7:32,675
2022/11/24 7:31,658
2022/11/24 7:30,647
2022/11/24 7:29,645
2022/11/24 7:28,639
2022/11/24 7:27,642
2022/11/24 7:26,647
2022/11/24 7:25,651
2022/11/24 7:24,633
2022/11/24 7:23,634
2022/11/24 7:22,626
2022/11/24 7:21,628
2022/11/24 7:20,637
2022/11/24 7:19,649
2022/11/24 7:18,636
2022/11/24 7:17,628
2022/11/24 7:16,622
2022/11/24 7:15,608
2022/11/24 7:14,601
2022/11/24 7:13,608
2022/11/24 7:12,609
2022/11/24 7:11,598
2022/11/24 7:10,609
2022/11/24 7:09,605
2022/11/24 7:08,588
2022/11/24 7:07,594
2022/11/24 7:06,592
2022/11/24 7:05,587
2022/11/24 7:04,589
2022/11/24 7:03,590
2022/11/24 7:02,584
2022/11/24 7:01,590
2022/11/24 7:00,594
2022/11/24 6:59,580
2022/11/24 6:58,583
2022/11/24 6:57,583
2022/11/24 6:56,583
2022/11/24 6:55,584
2022/11/24 6:54,578
2022/11/24 6:53,575
2022/11/24 6:52,608
2022/11/24 6:51,602
2022/11/24 6:50,597
2022/11/24 6:49,583
2022/11/24 6:48,585
2022/11/24 6:47,584
2022/11/24 6:46,587
2022/11/24 6:45,582
2022/11/24 6:44,560
2022/11/24 6:43,570
2022/11/24 6:42,574
2022/11/24 6:41,576
2022/11/24 6:40,554
2022/11/24 6:39,554
2022/11/24 6:38,543
2022/11/24 6:37,555
2022/11/24 6:36,546
2022/11/24 6:35,562
2022/11/24 6:34,560
2022/11/24 6:33,567
2022/11/24 6:32,561
2022/11/24 6:31,549
2022/11/24 6:30,543
2022/11/24 6:29,543
2022/11/24 6:28,544
2022/11/24 6:27,550
2022/11/24 6:26,536
2022/11/24 6:25,543
2022/11/24 6:24,552
2022/11/24 6:23,559
2022/11/24 6:22,542
2022/11/24 6:21,554
2022/11/24 6:20,557
2022/11/24 6:19,526
2022/11/24 6:18,511
2022/11/24 6:17,502
